id_idioma_1;id_idioma_2;ds_frase_idioma_1;ds_frase_idioma_2;ds_frase_idioma_2_observacao;nm_arquivo_imagem;nm_arquivo_som
1;2;N∆o deixes de o querer.;Eåpotare'ymum?.;Citaá∆o: Anch., Arte, 34v;;
1;2;remador de canoa;yg†-pukuåtara;Citaá∆o: VLB, II, 101;;
1;2;E a aproximaá∆o do parto de uma gr†vida n∆o Ç tambÇm motivo de se ter medo?;- A'epe muru'apora membyrasy kakara na nheangñaba bÇ ru∆?;Citaá∆o: Ar., Cat., 91;;
1;2;Finjo que vou.;As¢-as¢-a'ub.;Citaá∆o: Anch., Arte, 35;;
1;2;Por isso mesmo as malditas correm.;Nd'e'i te'e moxy onhana...;Citaá∆o: Anch., Teatro, 128;;
1;2;Reatei-o.;Aåapyt?at∆.;Citaá∆o: VLB, II, 97;;
1;2;Qual Ç teu nome?;Mar∆pe nde rera?;Citaá∆o: LÇry, Histoire, 341;;
1;2;Eis que, como est† no cÇu, Nosso Senhor est† dentro do p∆o nas m∆os do padre, com certeza.;Ak¢ ybakype ogñek¢ åakatu, ◊andÇ ◊ara... rek¢ñ miapepñera pupÇ nh? abarÇ p¢pe re'a...;Citaá∆o: Ar., Cat., 84v;;
1;2;Rompeu-se teu coraá∆o, por amor a ele.;Obok nde nhy'∆, sañsuba resÇ.;Citaá∆o: Anch., Poemas, 120;;
1;2;homem intolerante;ab†-poromborybe'yma;Citaá∆o: VLB, II, 114;;
1;2;Hei de contar os pecados deles para que tu acredites em mim.;T'aåpap†ne i angaåpaba ta xe rerobå† åepÇ.;Citaá∆o: Anch., Teatro, 34;;
1;2;Ah, t∆o somente eu, na verdade, sofrerei isto!;Xe nh‰ngatuetÇ koba'e aåporar†ne m∆!;Citaá∆o: Ar., Cat., 155v;;
1;2;N∆o h† muitos restos deles...;N'i tyb-et†å semyrñera...;Citaá∆o: Anch., Teatro, 14;;
1;2;Que seja minha m∆e, de fato.;Xe syramongatu t'oåk¢...;Citaá∆o: Anch., Poemas, 86;;
1;2;Iam mulheres, disc°pulas dele, pranteando-o.;Os¢ kunh∆ semimbo'e-et† sapir‰mo.;Citaá∆o: Ar., Cat., 61v;;
1;2;Eis que sofrem muito os que Deus repeliu, tendo sua vida envergonhada.;SasyetÇ ni∆ Tup∆ remipe'apñera, ...ogñek¢-mara'ara rero°na.;Citaá∆o: Ar., Cat., 163;;
1;2;Porventura a tentaá∆o Ç coisa semelhante a um laáo?;◊usana ab?are'yma nh? ser∆ tentaá∆o?...;Citaá∆o: Anch., Di†l. da FÇ, 232;;
1;2;S∆o Sebasti∆o destruiu os tamoios, os valentes.;S∆o Sebasti∆o... tam?åa, kyre'ymbagñera, omombab erimba'e...;Citaá∆o: Anch., Teatro, 52;;
1;2;Abri-me a boca, bocejei.;Aåeåuru-pirar.;Citaá∆o: VLB, I, 56;;
1;2;Lentamente, enfim, o homem perde entendimento, sua vista aguda de outrora desaparece, tentando inutilmente a fala.;MbegñÇ Ç ko'ytÇ ab† tekoku† kanhemi, sesapysopñera kanhemi, ...o nhe'engabñera ra'ang åepÇbo...;Citaá∆o: Ar., Cat., 156;;
1;2;Que entres no meu coraá∆o, guardando bem meu interior.;...Xe nhy'∆me t'ereåkÇ, xe py'a moingatñabo.;Citaá∆o: Anch., Poemas, 130;;
1;2;O pr¢prio Deus a gente honra, de costume.;Tup∆ aÇ nam? asÇ oåmoetÇ.;Citaá∆o: VLB, I, 84;;
1;2;a que amamenta;mokambñara;Citaá∆o: VLB, I, 33;;
1;2;Estou desleixando.;AtumbÇ-tumbek.;Citaá∆o: VLB, I, 93;;
1;2;Eia, meu aliado!;Ne'? xe atuasar.;Citaá∆o: LÇry, Histoire, 358;;
1;2;Enfim, de volta!;Ir‰ bÇ!;Citaá∆o: Anch., Teatro, 134;;
1;2;Jesus, guardi∆o da alegria.;Iesu toryberekoara;Citaá∆o: Valente, Cantigas, I, in Ar., Cat., 1618;;
1;2;ê certeiro esse maldito.;I pñakatu k¢ muru.;Citaá∆o: Anch., Teatro, 132;;
1;2;tràs chefes;...mosapyr morubixaba;Citaá∆o: Ar., Cat., 3;;
1;2;Isso Ç assim, certamente.;Emon∆ ñ? re'a...;Citaá∆o: VLB, II, 16;;
1;2;Antigamente eu ficava sempre junto de ti.;Akñeåme apyt† mem? nde pyri...;Citaá∆o: Anch., Poemas, 154;;
1;2;Temos coisas comuns.;◊arek¢ o åomba'e.;Citaá∆o: Anch., Arte, 16;;
1;2;Abusaste de alguma crianáa no seu sono?;Ereåapya°pe pitanga am‰ i kerype...?;Citaá∆o: Anch., Doutr. Crist∆, II, 88;;
1;2;Eu estou embasbacado.;Xe rembeir?.;Citaá∆o: VLB, I, 125;;
1;2;Enfim, os moáos escondem seus muito maus procedimentos.;AñåÇ, kunum?gñasu o ek¢-a°betÇ oåomim...;Citaá∆o: Anch., Teatro, 38;;
1;2;Est∆o felizes os anjos, festejando este dia.;Sory karaibebÇ, ik¢ 'ara momoranga.;Citaá∆o: Anch., Poemas, 130;;
1;2;Qual Ç a causa de nos amar Santa Maria?;Mba'epe Santa Maria asÇ rañsupaba?;Citaá∆o: Ar., Cat., 33v;;
1;2;N∆o fomos n¢s, mas nossos subordinados.;Na orÇ ru∆, orÇ kyra Ç.;Citaá∆o: VLB, II, 126;;
1;2;Beijei-o.;Aåpyter.;Citaá∆o: VLB, I, 54;;
1;2;Eu estou em guerra.;Xe mar∆motar.;Citaá∆o: VLB, II, 21;;
1;2;Assim como tu n∆o queres que alguÇm furte de ti tuas coisas, guarda-te de furtar as coisas de alguÇm.;Nde åosu° nde mba'e resÇ ab† mondar‰ nde i potare'yma åabÇ, teum? ab† mba'e resÇ Ç mondar‰mo...;Citaá∆o: Ar., Cat., 107v;;
1;2;Obedeceste Ös palavras do governante da aldeia ou a teu mestre?;Ereåporak†pe taba rerekoara nhe'enga koåp¢ nde mbo'esara...?;Citaá∆o: Ar., Cat., 101;;
1;2;Quase fui.;AsosñÇ.;Citaá∆o: Anch., Arte, 25v;;
1;2;Eu tenho m∆os r†pidas para assim agir.;Xe p¢-py'i emon∆ gñitek¢bo.;Citaá∆o: VLB, I, 34;;
1;2;debaixo da pedra;it† gñyrype;Citaá∆o: Anch., Arte, 41;;
1;2;Meu irm∆o, perdoa tu a mim.;Xe rybyt, nde nhyr‰ xebo...;Citaá∆o: Anch., Teatro, 46;;
1;2;Eis meus chifr‰es, meus dentes.;K¢ xe 'akusu, xe ranha...;Citaá∆o: Anch., Teatro, 40;;
1;2;Tenho jeito para a coisa.;A'ekatu mba'e resÇ.;Citaá∆o: VLB, I, 147;;
1;2;Roupa branca mandando colocar nele como meio de maltrat†-lo.;...A¢-tinga mondebuk† sesÇ serekomemñ∆sabamo.;Citaá∆o: Ar., Cat., 59;;
1;2;por a°, por essa parte;ebap¢ rupi;Citaá∆o: VLB, II, 82;;
1;2;conhecedor de animais, bom de caáa (fal. de c∆o);so'o-kugñaba;Citaá∆o: VLB, I, 62;;
1;2;Sabem bem de sua futura sa°da dali?;Oåku†-katupe a'e su° o semagñama?;Citaá∆o: Ar., Cat., 48v;;
1;2;D¢i muito ao homem perceber sua morte.;Sasy-etÇ ab† supÇ ogñe'‰nama anduba.;Citaá∆o: Ar., Cat., 156;;
1;2;Faáa-se tua vontade.;T'onhemonhang nde remimotara.;Citaá∆o: Ar., Cat., 13v;;
1;2;Escolheu-a para sua futura m∆e.;...I pysyr‰ñ o syrama resÇ.;Citaá∆o: Ar., Cat., 133, 1686;;
1;2;Sua busca de gente nas pessoas das mulheres.;...Kunh∆ ri i morek†.;Citaá∆o: Anch., Teatro, 150, 2006;;
1;2;Morreram todos.;Oman‰-mb†.;Citaá∆o: Anch., Arte, 3v;;
1;2;Vou com Pedro.;Oros¢ Pedro pab?.;Citaá∆o: Anch., Arte, 44;;
1;2;A ponte derrubam.;◊arybob‰ omonguå...;Citaá∆o: Anch., Poemas, 154;;
